Name,Count,Organization,Manifest File,Content Set,Arch,Release
Red Hat Enterprise Linux Server,1,,,Red Hat Enterprise Linux 7 Server (RPMs),x86_64,7Server
Red Hat Enterprise Linux Server,1,,,Red Hat Enterprise Linux 6 Server (RPMs),x86_64,6Server
